task	x	y	demand	a	b	service_time	pickup	delivery
0	25	25	0	0	600	0	0	0
1	44	40	12	100	190	0	0	2
2	3	2	-12	390	480	0	1	0
3	10	32	7	156	246	0	0	4
4	37	45	-7	435	525	0	3	0
5	26	49	10	123	213	0	0	6
6	19	14	-10	379	469	0	5	0
7	14	18	8	273	363	0	0	8
8	6	10	-8	436	526	0	7	0
9	44	6	18	235	325	0	0	10
10	26	29	-18	461	551	0	9	0
11	43	49	8	158	248	0	0	12
12	24	7	-8	452	542	0	11	0
13	11	29	19	100	190	0	0	14
14	20	40	-19	236	326	0	13	0
15	24	6	8	112	202	0	0	16
16	25	35	-8	475	565	0	15	0
17	34	47	11	129	219	0	0	18
18	23	28	-11	477	567	0	17	0
19	21	23	16	120	210	0	0	20
20	26	2	-16	275	365	0	19	0
21	29	35	15	65	155	0	0	22
22	23	2	-15	289	379	0	21	0
23	29	2	14	87	177	0	0	24
24	31	21	-14	309	399	0	23	0
25	37	3	15	182	272	0	0	26
26	1	35	-15	424	514	0	25	0
27	25	39	16	175	265	0	0	28
28	17	2	-16	434	524	0	27	0
29	8	1	6	186	276	0	0	30
30	7	4	-6	313	403	0	29	0
31	9	6	19	187	277	0	0	32
32	1	47	-19	402	492	0	31	0
33	46	5	7	126	216	0	0	34
34	34	49	-7	374	464	0	33	0
35	49	10	10	278	368	0	0	36
36	24	25	-10	474	564	0	35	0
37	1	40	20	130	220	0	0	38
38	20	4	-20	409	499	0	37	0
39	18	35	9	215	305	0	0	40
40	41	15	-9	431	521	0	39	0
41	13	29	8	329	419	0	0	42
42	9	23	-8	458	548	0	41	0
43	24	22	6	20	110	0	0	44
44	38	1	-6	392	482	0	43	0
45	49	14	18	185	275	0	0	46
46	10	7	-18	426	516	0	45	0
47	48	49	8	194	284	0	0	48
48	42	25	-8	403	493	0	47	0
49	26	13	12	116	206	0	0	50
50	14	3	-12	426	516	0	49	0
51	24	0	19	298	388	0	0	52
52	13	19	-19	460	550	0	51	0
53	43	29	18	195	285	0	0	54
54	38	29	-18	330	420	0	53	0
55	35	31	9	245	335	0	0	56
56	21	31	-9	465	555	0	55	0
57	25	36	20	157	247	0	0	58
58	9	38	-20	420	510	0	57	0
59	49	10	13	184	274	0	0	60
60	10	32	-13	416	506	0	59	0
61	32	47	10	129	219	0	0	62
62	30	46	-10	426	516	0	61	0
63	11	15	10	267	357	0	0	64
64	24	31	-10	421	511	0	63	0
65	35	7	5	141	231	0	0	66
66	23	2	-5	387	477	0	65	0
67	25	45	10	196	286	0	0	68
68	50	34	-10	412	502	0	67	0
69	46	29	12	144	234	0	0	70
70	12	2	-12	376	466	0	69	0
71	25	48	16	213	303	0	0	72
72	36	29	-16	390	480	0	71	0
73	8	48	12	202	292	0	0	74
74	11	11	-12	410	500	0	73	0
75	44	46	5	182	272	0	0	76
76	46	30	-5	422	512	0	75	0
77	37	1	8	209	299	0	0	78
78	49	4	-8	379	469	0	77	0
79	31	11	10	204	294	0	0	80
80	29	33	-10	405	495	0	79	0
81	14	26	12	270	360	0	0	82
82	11	15	-12	453	543	0	81	0
83	23	18	10	138	228	0	0	84
84	26	15	-10	315	405	0	83	0
85	21	8	20	59	149	0	0	86
86	25	40	-20	264	354	0	85	0
87	12	45	16	133	223	0	0	88
88	49	24	-16	397	487	0	87	0
89	5	15	10	107	197	0	0	90
90	4	3	-10	326	416	0	89	0
91	10	33	12	296	386	0	0	92
92	32	29	-12	484	574	0	91	0
93	31	46	13	205	295	0	0	94
94	8	20	-13	426	516	0	93	0
95	11	18	12	208	298	0	0	96
96	49	34	-12	429	519	0	95	0
97	29	31	11	141	231	0	0	98
98	1	24	-11	324	414	0	97	0
99	26	24	15	33	123	0	0	100
100	10	1	-15	352	442	0	99	0
