task	x	y	demand	a	b	service_time	pickup	delivery
0	25	25	0	0	600	0	0	0
1	22	20	7	199	289	0	0	2
2	5	25	-7	354	444	0	1	0
3	3	2	6	126	216	0	0	4
4	48	48	-6	410	500	0	3	0
5	46	11	12	283	373	0	0	6
6	45	5	-12	391	481	0	5	0
7	12	27	5	47	137	0	0	8
8	30	26	-5	306	396	0	7	0
9	16	26	14	137	227	0	0	10
10	8	8	-14	394	484	0	9	0
11	34	21	14	123	213	0	0	12
12	46	33	-14	312	402	0	11	0
13	37	11	9	210	300	0	0	14
14	13	35	-9	443	533	0	13	0
15	16	37	8	247	337	0	0	16
16	31	30	-8	435	525	0	15	0
17	1	36	10	143	233	0	0	18
18	40	21	-10	366	456	0	17	0
19	47	32	11	223	313	0	0	20
20	23	27	-11	413	503	0	19	0
21	15	16	11	67	157	0	0	22
22	41	4	-11	311	401	0	21	0
23	33	1	13	123	213	0	0	24
24	5	27	-13	378	468	0	23	0
25	9	2	11	173	263	0	0	26
26	25	14	-11	375	465	0	25	0
27	10	31	15	297	387	0	0	28
28	8	26	-15	439	529	0	27	0
29	45	45	13	225	315	0	0	30
30	31	23	-13	406	496	0	29	0
31	23	18	8	136	226	0	0	32
32	5	5	-8	332	422	0	31	0
33	30	46	10	144	234	0	0	34
34	17	27	-10	443	533	0	33	0
35	45	32	7	85	175	0	0	36
36	4	14	-7	398	488	0	35	0
37	13	9	15	324	414	0	0	38
38	10	20	-15	458	548	0	37	0
39	44	47	7	96	186	0	0	40
40	48	17	-7	361	451	0	39	0
41	23	4	12	134	224	0	0	42
42	23	40	-12	416	506	0	41	0
43	7	15	7	277	367	0	0	44
44	7	28	-7	425	515	0	43	0
45	47	15	13	134	224	0	0	46
46	33	38	-13	448	538	0	45	0
47	6	45	8	265	355	0	0	48
48	17	48	-8	416	506	0	47	0
49	22	42	6	178	268	0	0	50
50	34	9	-6	396	486	0	49	0
51	43	26	12	103	193	0	0	52
52	34	44	-12	354	444	0	51	0
53	12	35	7	90	180	0	0	54
54	46	17	-7	413	503	0	53	0
55	25	48	5	83	173	0	0	56
56	34	5	-5	349	439	0	55	0
57	10	30	6	238	328	0	0	58
58	13	48	-6	431	521	0	57	0
59	2	18	12	283	373	0	0	60
60	25	7	-12	451	541	0	59	0
61	10	32	14	217	307	0	0	62
62	30	2	-14	420	510	0	61	0
63	34	4	6	196	286	0	0	64
64	10	12	-6	400	490	0	63	0
65	39	24	6	162	252	0	0	66
66	1	40	-6	405	495	0	65	0
67	23	4	14	322	412	0	0	68
68	18	13	-14	449	539	0	67	0
69	49	29	7	100	190	0	0	70
70	36	35	-7	460	550	0	69	0
71	8	6	14	190	280	0	0	72
72	20	20	-14	394	484	0	71	0
73	4	38	15	197	287	0	0	74
74	48	20	-15	434	524	0	73	0
75	9	12	15	100	190	0	0	76
76	13	38	-15	381	471	0	75	0
77	40	20	6	165	255	0	0	78
78	8	50	-6	403	493	0	77	0
79	32	14	12	48	138	0	0	80
80	38	33	-12	397	487	0	79	0
81	30	18	8	122	212	0	0	82
82	28	26	-8	457	547	0	81	0
83	24	49	6	236	326	0	0	84
84	2	26	-6	430	520	0	83	0
85	27	17	13	49	139	0	0	86
86	45	45	-13	419	509	0	85	0
87	47	28	10	178	268	0	0	88
88	5	12	-10	416	506	0	87	0
89	0	2	9	245	335	0	0	90
90	3	15	-9	379	469	0	89	0
91	7	38	14	106	196	0	0	92
92	35	30	-14	457	547	0	91	0
93	1	30	6	179	269	0	0	94
94	7	42	-6	431	521	0	93	0
95	43	40	8	268	358	0	0	96
96	14	23	-8	471	561	0	95	0
97	18	49	13	311	401	0	0	98
98	16	28	-13	470	560	0	97	0
99	5	45	8	190	280	0	0	100
100	0	23	-8	420	510	0	99	0
