task	x	y	demand	a	b	service_time	pickup	delivery
0	25	25	0	0	600	0	0	0
1	39	3	5	398	443	0	0	2
2	42	12	-5	481	526	0	1	0
3	25	18	11	87	132	0	0	4
4	28	44	-11	403	448	0	3	0
5	32	29	20	260	305	0	0	6
6	8	33	-20	476	521	0	5	0
7	13	39	20	71	116	0	0	8
8	39	24	-20	369	414	0	7	0
9	33	4	16	237	282	0	0	10
10	6	23	-16	480	525	0	9	0
11	19	43	14	432	477	0	0	12
12	30	25	-14	539	584	0	11	0
13	17	41	9	164	209	0	0	14
14	5	22	-9	375	420	0	13	0
15	38	43	17	285	330	0	0	16
16	6	47	-17	446	491	0	15	0
17	21	44	18	177	222	0	0	18
18	36	4	-18	366	411	0	17	0
19	47	5	6	174	219	0	0	20
20	45	38	-6	437	482	0	19	0
21	42	16	5	100	145	0	0	22
22	13	28	-5	391	436	0	21	0
23	33	27	12	199	244	0	0	24
24	16	27	-12	333	378	0	23	0
25	10	26	11	124	169	0	0	26
26	29	41	-11	299	344	0	25	0
27	28	11	18	284	329	0	0	28
28	35	18	-18	409	454	0	27	0
29	41	30	15	182	227	0	0	30
30	13	4	-15	433	478	0	29	0
31	26	17	11	296	341	0	0	32
32	35	12	-11	402	447	0	31	0
33	43	35	7	306	351	0	0	34
34	41	35	-7	466	511	0	33	0
35	34	41	8	55	100	0	0	36
36	23	23	-8	176	221	0	35	0
37	25	18	11	209	254	0	0	38
38	31	22	-11	513	558	0	37	0
39	22	6	11	232	277	0	0	40
40	4	18	-11	460	505	0	39	0
41	49	12	17	314	359	0	0	42
42	31	28	-17	533	578	0	41	0
43	1	45	18	143	188	0	0	44
44	2	47	-18	283	328	0	43	0
45	11	48	12	293	338	0	0	46
46	12	18	-12	435	480	0	45	0
47	47	29	10	279	324	0	0	48
48	16	6	-10	481	526	0	47	0
49	37	42	20	269	314	0	0	50
50	13	46	-20	461	506	0	49	0
51	10	40	11	166	211	0	0	52
52	33	19	-11	321	366	0	51	0
53	34	1	14	165	210	0	0	54
54	30	45	-14	381	426	0	53	0
55	18	48	10	239	284	0	0	56
56	38	25	-10	509	554	0	55	0
57	31	24	17	104	149	0	0	58
58	19	34	-17	287	332	0	57	0
59	18	41	13	161	206	0	0	60
60	25	21	-13	519	564	0	59	0
61	3	42	15	312	357	0	0	62
62	11	47	-15	393	438	0	61	0
63	42	32	13	345	390	0	0	64
64	45	21	-13	438	483	0	63	0
65	21	1	14	210	255	0	0	66
66	0	13	-14	328	373	0	65	0
67	11	18	10	185	230	0	0	68
68	11	44	-10	376	421	0	67	0
69	21	17	11	157	202	0	0	70
70	23	50	-11	427	472	0	69	0
71	38	50	8	374	419	0	0	72
72	23	25	-8	539	584	0	71	0
73	15	27	18	292	337	0	0	74
74	43	42	-18	475	520	0	73	0
75	47	39	18	101	146	0	0	76
76	14	5	-18	354	399	0	75	0
77	13	31	9	203	248	0	0	78
78	9	49	-9	420	465	0	77	0
79	14	18	12	160	205	0	0	80
80	40	35	-12	402	447	0	79	0
81	10	11	13	259	304	0	0	82
82	2	5	-13	446	491	0	81	0
83	21	1	8	370	415	0	0	84
84	14	27	-8	513	558	0	83	0
85	49	13	7	243	288	0	0	86
86	8	2	-7	447	492	0	85	0
87	23	31	16	167	212	0	0	88
88	10	46	-16	275	320	0	87	0
89	38	3	16	314	359	0	0	90
90	38	5	-16	469	514	0	89	0
91	28	44	8	362	407	0	0	92
92	42	18	-8	499	544	0	91	0
93	49	4	13	190	235	0	0	94
94	2	33	-13	451	496	0	93	0
95	33	5	14	254	299	0	0	96
96	17	31	-14	398	443	0	95	0
97	26	48	6	333	378	0	0	98
98	26	48	-6	450	495	0	97	0
99	8	4	6	129	174	0	0	100
100	4	48	-6	323	368	0	99	0
