task	x	y	demand	a	b	service_time	pickup	delivery
0	25	25	0	0	600	0	0	0
1	16	12	7	172	217	0	0	2
2	33	24	-7	345	390	0	1	0
3	14	11	10	148	193	0	0	4
4	31	41	-10	487	532	0	3	0
5	8	20	7	162	207	0	0	6
6	39	43	-7	445	490	0	5	0
7	44	1	8	297	342	0	0	8
8	43	23	-8	439	484	0	7	0
9	5	15	7	212	257	0	0	10
10	37	32	-7	478	523	0	9	0
11	41	40	11	168	213	0	0	12
12	15	18	-11	480	525	0	11	0
13	25	19	10	247	292	0	0	14
14	44	40	-10	462	507	0	13	0
15	0	44	11	119	164	0	0	16
16	30	15	-11	425	470	0	15	0
17	8	8	5	255	300	0	0	18
18	42	7	-5	406	451	0	17	0
19	30	10	12	163	208	0	0	20
20	4	41	-12	400	445	0	19	0
21	31	36	7	335	380	0	0	22
22	23	37	-7	438	483	0	21	0
23	35	9	5	148	193	0	0	24
24	28	43	-5	302	347	0	23	0
25	27	14	8	263	308	0	0	26
26	13	31	-8	421	466	0	25	0
27	42	27	6	401	446	0	0	28
28	39	34	-6	489	534	0	27	0
29	30	9	9	80	125	0	0	30
30	6	28	-9	444	489	0	29	0
31	36	44	9	97	142	0	0	32
32	19	27	-9	337	382	0	31	0
33	9	26	6	296	341	0	0	34
34	5	44	-6	469	514	0	33	0
35	48	45	15	128	173	0	0	36
36	14	9	-15	487	532	0	35	0
37	18	4	11	72	117	0	0	38
38	15	9	-11	211	256	0	37	0
39	45	40	10	126	171	0	0	40
40	49	2	-10	345	390	0	39	0
41	37	21	8	246	291	0	0	42
42	0	39	-8	442	487	0	41	0
43	32	12	7	236	281	0	0	44
44	23	1	-7	329	374	0	43	0
45	1	16	14	117	162	0	0	46
46	6	48	-14	401	446	0	45	0
47	15	14	9	206	251	0	0	48
48	31	45	-9	434	479	0	47	0
49	15	26	6	290	335	0	0	50
50	20	33	-6	400	445	0	49	0
51	37	22	9	351	396	0	0	52
52	41	39	-9	481	526	0	51	0
53	8	37	14	315	360	0	0	54
54	44	37	-14	473	518	0	53	0
55	6	16	14	132	177	0	0	56
56	34	26	-14	353	398	0	55	0
57	35	15	8	189	234	0	0	58
58	27	19	-8	399	444	0	57	0
59	14	8	6	229	274	0	0	60
60	42	24	-6	460	505	0	59	0
61	45	47	8	125	170	0	0	62
62	44	3	-8	383	428	0	61	0
63	42	6	13	293	338	0	0	64
64	1	27	-13	481	526	0	63	0
65	16	23	5	90	135	0	0	66
66	24	13	-5	330	375	0	65	0
67	22	26	6	363	408	0	0	68
68	22	15	-6	499	544	0	67	0
69	46	47	10	210	255	0	0	70
70	46	29	-10	470	515	0	69	0
71	43	3	12	145	190	0	0	72
72	2	20	-12	430	475	0	71	0
73	21	12	10	339	384	0	0	74
74	35	16	-10	469	514	0	73	0
75	13	3	10	160	205	0	0	76
76	15	30	-10	392	437	0	75	0
77	46	13	10	76	121	0	0	78
78	5	35	-10	421	466	0	77	0
79	41	37	14	231	276	0	0	80
80	33	20	-14	461	506	0	79	0
81	40	2	6	350	395	0	0	82
82	32	22	-6	487	532	0	81	0
83	16	12	5	221	266	0	0	84
84	49	49	-5	452	497	0	83	0
85	13	12	13	358	403	0	0	86
86	2	14	-13	458	503	0	85	0
87	39	10	12	321	366	0	0	88
88	45	42	-12	474	519	0	87	0
89	36	4	5	254	299	0	0	90
90	49	23	-5	465	510	0	89	0
91	8	8	13	201	246	0	0	92
92	6	7	-13	345	390	0	91	0
93	6	41	7	237	282	0	0	94
94	47	18	-7	456	501	0	93	0
95	37	5	5	101	146	0	0	96
96	17	43	-5	317	362	0	95	0
97	40	12	13	232	277	0	0	98
98	38	11	-13	427	472	0	97	0
99	15	12	8	317	362	0	0	100
100	21	7	-8	431	476	0	99	0
