task	x	y	demand	a	b	service_time	pickup	delivery
0	25	25	0	0	600	0	0	0
1	46	21	12	334	379	0	0	2
2	20	12	-12	491	536	0	1	0
3	27	38	14	41	86	0	0	4
4	24	14	-14	482	527	0	3	0
5	33	20	15	114	159	0	0	6
6	19	37	-15	343	388	0	5	0
7	17	20	12	411	456	0	0	8
8	27	36	-12	515	560	0	7	0
9	32	22	7	184	229	0	0	10
10	40	13	-7	476	521	0	9	0
11	39	35	12	344	389	0	0	12
12	27	17	-12	518	563	0	11	0
13	10	18	9	345	390	0	0	14
14	34	21	-9	525	570	0	13	0
15	5	32	10	301	346	0	0	16
16	9	26	-10	406	451	0	15	0
17	8	1	6	264	309	0	0	18
18	37	40	-6	487	532	0	17	0
19	1	48	6	275	320	0	0	20
20	1	38	-6	439	484	0	19	0
21	18	3	10	279	324	0	0	22
22	40	29	-10	456	501	0	21	0
23	28	41	11	271	316	0	0	24
24	27	13	-11	415	460	0	23	0
25	4	18	5	168	213	0	0	26
26	13	39	-5	365	410	0	25	0
27	34	17	5	232	277	0	0	28
28	5	18	-5	445	490	0	27	0
29	13	11	8	195	240	0	0	30
30	35	38	-8	407	452	0	29	0
31	3	38	11	275	320	0	0	32
32	8	12	-11	406	451	0	31	0
33	39	24	6	56	101	0	0	34
34	12	15	-6	260	305	0	33	0
35	4	28	11	146	191	0	0	36
36	50	1	-11	385	430	0	35	0
37	17	26	7	137	182	0	0	38
38	47	1	-7	318	363	0	37	0
39	45	38	6	172	217	0	0	40
40	40	5	-6	422	467	0	39	0
41	36	32	9	201	246	0	0	42
42	7	36	-9	454	499	0	41	0
43	29	42	11	190	235	0	0	44
44	48	10	-11	397	442	0	43	0
45	9	21	7	100	145	0	0	46
46	27	15	-7	245	290	0	45	0
47	19	39	9	79	124	0	0	48
48	32	4	-9	406	451	0	47	0
49	30	35	11	312	357	0	0	50
50	47	17	-11	455	500	0	49	0
51	14	34	14	107	152	0	0	52
52	42	8	-14	414	459	0	51	0
53	21	20	11	119	164	0	0	54
54	40	1	-11	316	361	0	53	0
55	41	1	6	269	314	0	0	56
56	17	45	-6	471	516	0	55	0
57	40	43	15	321	366	0	0	58
58	49	27	-15	479	524	0	57	0
59	40	43	6	190	235	0	0	60
60	24	39	-6	331	376	0	59	0
61	45	1	6	282	327	0	0	62
62	37	41	-6	468	513	0	61	0
63	46	15	7	303	348	0	0	64
64	24	45	-7	481	526	0	63	0
65	37	2	7	163	208	0	0	66
66	7	32	-7	421	466	0	65	0
67	27	36	9	66	111	0	0	68
68	1	42	-9	393	438	0	67	0
69	22	38	7	314	359	0	0	70
70	8	18	-7	494	539	0	69	0
71	1	18	8	230	275	0	0	72
72	43	36	-8	470	515	0	71	0
73	2	36	8	319	364	0	0	74
74	13	6	-8	464	509	0	73	0
75	36	48	8	313	358	0	0	76
76	48	26	-8	456	501	0	75	0
77	49	46	10	320	365	0	0	78
78	21	40	-10	487	532	0	77	0
79	25	40	6	398	443	0	0	80
80	25	15	-6	519	564	0	79	0
81	43	16	11	242	287	0	0	82
82	14	48	-11	435	480	0	81	0
83	38	39	8	174	219	0	0	84
84	15	32	-8	371	416	0	83	0
85	24	35	5	164	209	0	0	86
86	37	14	-5	479	524	0	85	0
87	50	24	9	178	223	0	0	88
88	43	42	-9	418	463	0	87	0
89	48	22	7	228	273	0	0	90
90	23	34	-7	422	467	0	89	0
91	48	4	12	107	152	0	0	92
92	34	17	-12	271	316	0	91	0
93	6	15	11	237	282	0	0	94
94	11	20	-11	504	549	0	93	0
95	28	33	5	202	247	0	0	96
96	7	37	-5	332	377	0	95	0
97	18	39	9	359	404	0	0	98
98	7	31	-9	452	497	0	97	0
99	50	27	10	279	324	0	0	100
100	34	34	-10	440	485	0	99	0
