task	x	y	demand	a	b	service_time	pickup	delivery
0	25	25	0	0	600	0	0	0
1	14	6	14	285	375	0	0	2
2	26	36	-14	475	565	0	1	0
3	19	11	19	122	212	0	0	4
4	43	1	-19	365	455	0	3	0
5	42	44	9	256	346	0	0	6
6	19	19	-9	467	557	0	5	0
7	13	19	11	255	345	0	0	8
8	28	8	-11	407	497	0	7	0
9	13	3	13	242	332	0	0	10
10	42	30	-13	452	542	0	9	0
11	16	10	8	294	384	0	0	12
12	34	18	-8	456	546	0	11	0
13	3	45	13	150	240	0	0	14
14	49	32	-13	394	484	0	13	0
15	14	2	14	136	226	0	0	16
16	21	39	-14	353	443	0	15	0
17	48	22	11	105	195	0	0	18
18	39	49	-11	350	440	0	17	0
19	42	15	18	75	165	0	0	20
20	31	6	-18	366	456	0	19	0
21	39	17	11	57	147	0	0	22
22	41	36	-11	242	332	0	21	0
23	5	11	11	312	402	0	0	24
24	26	14	-11	472	562	0	23	0
25	36	27	8	142	232	0	0	26
26	17	19	-8	477	567	0	25	0
27	4	34	15	276	366	0	0	28
28	20	32	-15	436	526	0	27	0
29	25	14	19	61	151	0	0	30
30	29	25	-19	408	498	0	29	0
31	1	14	10	139	229	0	0	32
32	26	28	-10	417	507	0	31	0
33	6	5	17	113	203	0	0	34
34	26	10	-17	461	551	0	33	0
35	36	6	18	137	227	0	0	36
36	50	32	-18	377	467	0	35	0
37	39	17	16	301	391	0	0	38
38	43	15	-16	406	496	0	37	0
39	27	19	15	173	263	0	0	40
40	24	43	-15	448	538	0	39	0
41	7	41	19	74	164	0	0	42
42	43	14	-19	445	535	0	41	0
43	14	42	17	105	195	0	0	44
44	1	17	-17	315	405	0	43	0
45	16	45	16	304	394	0	0	46
46	26	18	-16	483	573	0	45	0
47	13	14	12	307	397	0	0	48
48	10	27	-12	447	537	0	47	0
49	13	22	13	54	144	0	0	50
50	35	38	-13	285	375	0	49	0
51	26	36	12	120	210	0	0	52
52	41	47	-12	295	385	0	51	0
53	22	41	15	172	262	0	0	54
54	37	6	-15	404	494	0	53	0
55	15	5	7	121	211	0	0	56
56	50	20	-7	416	506	0	55	0
57	20	23	6	224	314	0	0	58
58	22	45	-6	403	493	0	57	0
59	14	46	17	250	340	0	0	60
60	6	45	-17	376	466	0	59	0
61	29	5	13	113	203	0	0	62
62	36	29	-13	317	407	0	61	0
63	6	31	15	77	167	0	0	64
64	25	29	-15	279	369	0	63	0
65	36	14	10	103	193	0	0	66
66	15	31	-10	462	552	0	65	0
67	7	34	17	111	201	0	0	68
68	44	24	-17	443	533	0	67	0
69	43	35	5	196	286	0	0	70
70	30	29	-5	346	436	0	69	0
71	35	1	8	136	226	0	0	72
72	30	27	-8	316	406	0	71	0
73	49	8	7	100	190	0	0	74
74	46	22	-7	341	431	0	73	0
75	18	35	17	166	256	0	0	76
76	43	46	-17	401	491	0	75	0
77	50	26	9	198	288	0	0	78
78	39	21	-9	458	548	0	77	0
79	18	30	11	234	324	0	0	80
80	26	5	-11	437	527	0	79	0
81	9	8	10	120	210	0	0	82
82	20	4	-10	289	379	0	81	0
83	20	6	5	109	199	0	0	84
84	3	31	-5	311	401	0	83	0
85	40	5	14	165	255	0	0	86
86	10	9	-14	347	437	0	85	0
87	19	41	7	101	191	0	0	88
88	5	42	-7	410	500	0	87	0
89	48	23	19	97	187	0	0	90
90	20	30	-19	440	530	0	89	0
91	17	50	9	254	344	0	0	92
92	41	49	-9	421	511	0	91	0
93	8	13	5	111	201	0	0	94
94	42	12	-5	332	422	0	93	0
95	47	18	9	196	286	0	0	96
96	21	26	-9	392	482	0	95	0
97	6	9	14	135	225	0	0	98
98	9	18	-14	339	429	0	97	0
99	30	9	19	76	166	0	0	100
100	35	48	-19	402	492	0	99	0
