task	x	y	demand	a	b	service_time	pickup	delivery
0	25	25	0	0	600	0	0	0
1	2	19	9	82	172	0	0	2
2	41	39	-9	420	510	0	1	0
3	46	48	14	149	239	0	0	4
4	3	27	-14	442	532	0	3	0
5	18	16	12	240	330	0	0	6
6	41	21	-12	433	523	0	5	0
7	14	44	9	93	183	0	0	8
8	41	18	-9	311	401	0	7	0
9	26	38	5	274	364	0	0	10
10	31	45	-5	423	513	0	9	0
11	18	13	6	264	354	0	0	12
12	35	3	-6	428	518	0	11	0
13	23	47	10	135	225	0	0	14
14	35	9	-10	433	523	0	13	0
15	30	38	11	236	326	0	0	16
16	8	15	-11	427	517	0	15	0
17	32	29	6	210	300	0	0	18
18	6	33	-6	437	527	0	17	0
19	9	43	13	111	201	0	0	20
20	8	0	-13	385	475	0	19	0
21	23	47	14	82	172	0	0	22
22	31	10	-14	369	459	0	21	0
23	12	9	10	87	177	0	0	24
24	49	34	-10	398	488	0	23	0
25	18	11	14	68	158	0	0	26
26	28	25	-14	387	477	0	25	0
27	4	45	7	189	279	0	0	28
28	30	10	-7	448	538	0	27	0
29	41	39	5	321	411	0	0	30
30	21	32	-5	480	570	0	29	0
31	18	8	8	73	163	0	0	32
32	1	38	-8	297	387	0	31	0
33	26	29	13	86	176	0	0	34
34	36	1	-13	335	425	0	33	0
35	36	18	8	173	263	0	0	36
36	46	44	-8	382	472	0	35	0
37	4	9	8	100	190	0	0	38
38	2	15	-8	260	350	0	37	0
39	26	28	6	27	117	0	0	40
40	38	42	-6	366	456	0	39	0
41	6	18	13	86	176	0	0	42
42	36	33	-13	400	490	0	41	0
43	41	46	15	188	278	0	0	44
44	5	50	-15	407	497	0	43	0
45	1	15	11	182	272	0	0	46
46	31	29	-11	450	540	0	45	0
47	24	44	14	319	409	0	0	48
48	16	34	-14	469	559	0	47	0
49	41	48	11	119	209	0	0	50
50	18	14	-11	378	468	0	49	0
51	27	47	14	104	194	0	0	52
52	9	25	-14	359	449	0	51	0
53	8	30	10	267	357	0	0	54
54	10	18	-10	405	495	0	53	0
55	27	21	11	370	460	0	0	56
56	21	21	-11	482	572	0	55	0
57	15	2	14	249	339	0	0	58
58	34	11	-14	456	546	0	57	0
59	34	13	6	92	182	0	0	60
60	32	40	-6	303	393	0	59	0
61	28	12	11	61	151	0	0	62
62	6	17	-11	355	445	0	61	0
63	10	28	8	206	296	0	0	64
64	17	46	-8	421	511	0	63	0
65	3	46	11	160	250	0	0	66
66	45	28	-11	415	505	0	65	0
67	5	41	11	275	365	0	0	68
68	10	46	-11	417	507	0	67	0
69	9	5	5	271	361	0	0	70
70	4	15	-5	428	518	0	69	0
71	27	37	14	116	206	0	0	72
72	47	46	-14	361	451	0	71	0
73	41	6	12	229	319	0	0	74
74	12	32	-12	458	548	0	73	0
75	27	42	5	109	199	0	0	76
76	0	13	-5	334	424	0	75	0
77	50	46	8	203	293	0	0	78
78	33	37	-8	431	521	0	77	0
79	25	44	15	310	400	0	0	80
80	31	26	-15	489	579	0	79	0
81	46	25	6	216	306	0	0	82
82	35	10	-6	422	512	0	81	0
83	22	21	10	244	334	0	0	84
84	6	40	-10	434	524	0	83	0
85	23	41	14	206	296	0	0	86
86	27	31	-14	434	524	0	85	0
87	42	15	10	253	343	0	0	88
88	41	28	-10	446	536	0	87	0
89	27	41	5	130	220	0	0	90
90	8	10	-5	335	425	0	89	0
91	32	36	6	194	284	0	0	92
92	31	30	-6	346	436	0	91	0
93	39	30	15	53	143	0	0	94
94	35	23	-15	191	281	0	93	0
95	38	25	7	143	233	0	0	96
96	2	7	-7	390	480	0	95	0
97	29	28	8	52	142	0	0	98
98	23	14	-8	431	521	0	97	0
99	31	2	9	83	173	0	0	100
100	44	14	-9	299	389	0	99	0
