task	x	y	demand	a	b	service_time	pickup	delivery
0	25	25	0	0	600	0	0	0
1	31	17	10	196	286	0	0	2
2	23	29	-10	348	438	0	1	0
3	15	9	8	116	206	0	0	4
4	44	47	-8	378	468	0	3	0
5	41	4	6	129	219	0	0	6
6	20	44	-6	415	505	0	5	0
7	30	25	7	262	352	0	0	8
8	27	25	-7	382	472	0	7	0
9	19	31	15	202	292	0	0	10
10	47	9	-15	426	516	0	9	0
11	5	23	20	266	356	0	0	12
12	24	11	-20	456	546	0	11	0
13	7	36	19	110	200	0	0	14
14	34	25	-19	378	468	0	13	0
15	21	10	5	185	275	0	0	16
16	8	37	-5	401	491	0	15	0
17	8	46	18	185	275	0	0	18
18	30	42	-18	383	473	0	17	0
19	47	13	14	279	369	0	0	20
20	25	35	-14	465	555	0	19	0
21	39	17	17	347	437	0	0	22
22	36	18	-17	469	559	0	21	0
23	31	21	8	167	257	0	0	24
24	43	13	-8	306	396	0	23	0
25	3	40	14	202	292	0	0	26
26	11	46	-14	413	503	0	25	0
27	6	40	20	281	371	0	0	28
28	13	21	-20	446	536	0	27	0
29	31	14	12	39	129	0	0	30
30	38	42	-12	419	509	0	29	0
31	48	38	18	292	382	0	0	32
32	20	36	-18	472	562	0	31	0
33	49	25	8	238	328	0	0	34
34	33	0	-8	423	513	0	33	0
35	30	5	18	284	374	0	0	36
36	17	1	-18	426	516	0	35	0
37	45	42	9	162	252	0	0	38
38	35	36	-9	419	509	0	37	0
39	20	31	9	44	134	0	0	40
40	34	28	-9	225	315	0	39	0
41	15	16	12	90	180	0	0	42
42	16	42	-12	370	460	0	41	0
43	38	3	17	113	203	0	0	44
44	25	40	-17	370	460	0	43	0
45	45	50	15	182	272	0	0	46
46	35	15	-15	449	539	0	45	0
47	49	38	18	136	226	0	0	48
48	31	3	-18	438	528	0	47	0
49	39	28	17	120	210	0	0	50
50	12	49	-17	349	439	0	49	0
51	30	37	6	101	191	0	0	52
52	0	15	-6	357	447	0	51	0
53	2	41	9	187	277	0	0	54
54	29	13	-9	400	490	0	53	0
55	24	49	11	87	177	0	0	56
56	41	18	-11	438	528	0	55	0
57	6	27	17	60	150	0	0	58
58	33	6	-17	335	425	0	57	0
59	42	42	20	81	171	0	0	60
60	9	6	-20	409	499	0	59	0
61	8	24	17	208	298	0	0	62
62	13	14	-17	386	476	0	61	0
63	24	47	6	288	378	0	0	64
64	10	33	-6	452	542	0	63	0
65	31	44	7	133	223	0	0	66
66	5	38	-7	347	437	0	65	0
67	47	12	14	140	230	0	0	68
68	20	42	-14	397	487	0	67	0
69	42	18	6	77	167	0	0	70
70	25	4	-6	270	360	0	69	0
71	4	26	16	260	350	0	0	72
72	20	29	-16	481	571	0	71	0
73	27	31	19	144	234	0	0	74
74	23	42	-19	354	444	0	73	0
75	23	16	5	260	350	0	0	76
76	18	37	-5	437	527	0	75	0
77	1	46	13	150	240	0	0	78
78	15	45	-13	405	495	0	77	0
79	21	5	8	218	308	0	0	80
80	35	19	-8	399	489	0	79	0
81	8	12	18	82	172	0	0	82
82	49	21	-18	388	478	0	81	0
83	27	14	14	215	305	0	0	84
84	16	9	-14	365	455	0	83	0
85	13	18	10	311	401	0	0	86
86	21	29	-10	485	575	0	85	0
87	32	23	11	175	265	0	0	88
88	18	26	-11	323	413	0	87	0
89	10	29	15	201	291	0	0	90
90	17	34	-15	330	420	0	89	0
91	9	25	9	183	273	0	0	92
92	18	29	-9	400	490	0	91	0
93	18	2	11	282	372	0	0	94
94	22	33	-11	472	562	0	93	0
95	7	14	10	228	318	0	0	96
96	40	32	-10	438	528	0	95	0
97	19	35	13	43	133	0	0	98
98	9	31	-13	366	456	0	97	0
99	40	19	16	100	190	0	0	100
100	6	34	-16	313	403	0	99	0
