task	x	y	demand	a	b	service_time	pickup	delivery
0	25	25	0	0	600	0	0	0
1	8	28	10	332	377	0	0	2
2	12	12	-10	457	502	0	1	0
3	37	46	6	381	426	0	0	4
4	40	46	-6	467	512	0	3	0
5	11	31	12	122	167	0	0	6
6	48	14	-12	467	512	0	5	0
7	23	6	13	162	207	0	0	8
8	1	17	-13	433	478	0	7	0
9	27	25	18	76	121	0	0	10
10	18	40	-18	188	233	0	9	0
11	31	6	18	97	142	0	0	12
12	39	40	-18	297	342	0	11	0
13	40	17	20	102	147	0	0	14
14	20	28	-20	403	448	0	13	0
15	46	18	16	116	161	0	0	16
16	20	48	-16	437	482	0	15	0
17	16	35	15	262	307	0	0	18
18	17	5	-15	407	452	0	17	0
19	25	17	8	241	286	0	0	20
20	12	46	-8	406	451	0	19	0
21	37	42	8	87	132	0	0	22
22	6	3	-8	425	470	0	21	0
23	23	1	7	98	143	0	0	24
24	35	38	-7	449	494	0	23	0
25	31	46	8	334	379	0	0	26
26	33	19	-8	513	558	0	25	0
27	7	7	6	397	442	0	0	28
28	18	17	-6	521	566	0	27	0
29	7	16	7	65	110	0	0	30
30	6	12	-7	425	470	0	29	0
31	41	10	7	86	131	0	0	32
32	49	16	-7	456	501	0	31	0
33	9	42	14	353	398	0	0	34
34	0	48	-14	436	481	0	33	0
35	39	48	7	284	329	0	0	36
36	8	17	-7	471	516	0	35	0
37	32	25	19	141	186	0	0	38
38	9	46	-19	291	336	0	37	0
39	18	22	7	201	246	0	0	40
40	9	5	-7	467	512	0	39	0
41	14	19	18	263	308	0	0	42
42	4	40	-18	442	487	0	41	0
43	30	10	10	197	242	0	0	44
44	23	29	-10	367	412	0	43	0
45	27	1	8	316	361	0	0	46
46	42	19	-8	496	541	0	45	0
47	48	13	14	95	140	0	0	48
48	15	14	-14	265	310	0	47	0
49	40	31	14	172	217	0	0	50
50	37	21	-14	355	400	0	49	0
51	40	20	18	49	94	0	0	52
52	2	28	-18	298	343	0	51	0
53	1	32	6	240	285	0	0	54
54	9	27	-6	373	418	0	53	0
55	9	14	12	133	178	0	0	56
56	12	19	-12	461	506	0	55	0
57	10	38	8	158	203	0	0	58
58	15	18	-8	329	374	0	57	0
59	0	7	11	116	161	0	0	60
60	22	5	-11	295	340	0	59	0
61	36	19	18	72	117	0	0	62
62	34	0	-18	216	261	0	61	0
63	43	33	16	237	282	0	0	64
64	31	42	-16	487	532	0	63	0
65	22	29	17	131	176	0	0	66
66	44	45	-17	423	468	0	65	0
67	44	35	7	340	385	0	0	68
68	31	21	-7	525	570	0	67	0
69	45	12	13	89	134	0	0	70
70	40	28	-13	414	459	0	69	0
71	48	23	18	237	282	0	0	72
72	9	20	-18	429	474	0	71	0
73	6	12	13	147	192	0	0	74
74	48	22	-13	400	445	0	73	0
75	17	35	18	258	303	0	0	76
76	3	19	-18	431	476	0	75	0
77	28	7	15	377	422	0	0	78
78	14	3	-15	475	520	0	77	0
79	5	14	10	106	151	0	0	80
80	6	42	-10	251	296	0	79	0
81	39	26	20	218	263	0	0	82
82	47	10	-20	357	402	0	81	0
83	15	20	12	79	124	0	0	84
84	25	15	-12	377	422	0	83	0
85	31	9	15	68	113	0	0	86
86	15	4	-15	350	395	0	85	0
87	30	20	17	370	415	0	0	88
88	17	22	-17	482	527	0	87	0
89	45	27	9	164	209	0	0	90
90	15	1	-9	352	397	0	89	0
91	7	7	8	277	322	0	0	92
92	44	5	-8	436	481	0	91	0
93	11	14	18	163	208	0	0	94
94	9	17	-18	307	352	0	93	0
95	34	20	8	131	176	0	0	96
96	49	4	-8	402	447	0	95	0
97	19	47	18	320	365	0	0	98
98	22	10	-18	487	532	0	97	0
99	46	18	20	275	320	0	0	100
100	16	6	-20	488	533	0	99	0
