task	x	y	demand	a	b	service_time	pickup	delivery
0	25	25	0	0	600	0	0	0
1	12	43	15	174	264	0	0	2
2	45	36	-15	409	499	0	1	0
3	31	38	5	136	226	0	0	4
4	45	25	-5	420	510	0	3	0
5	36	50	12	237	327	0	0	6
6	40	31	-12	457	547	0	5	0
7	16	1	14	123	213	0	0	8
8	4	43	-14	360	450	0	7	0
9	24	32	8	215	305	0	0	10
10	15	17	-8	374	464	0	9	0
11	6	27	9	295	385	0	0	12
12	9	36	-9	431	521	0	11	0
13	46	30	12	139	229	0	0	14
14	6	46	-12	412	502	0	13	0
15	28	23	10	105	195	0	0	16
16	17	16	-10	364	454	0	15	0
17	47	5	9	195	285	0	0	18
18	5	29	-9	446	536	0	17	0
19	41	48	5	189	279	0	0	20
20	1	37	-5	408	498	0	19	0
21	32	43	8	61	151	0	0	22
22	48	5	-8	407	497	0	21	0
23	25	35	14	263	353	0	0	24
24	12	26	-14	453	543	0	23	0
25	48	17	8	176	266	0	0	26
26	10	9	-8	396	486	0	25	0
27	40	26	10	190	280	0	0	28
28	6	45	-10	420	510	0	27	0
29	40	10	15	334	424	0	0	30
30	39	15	-15	443	533	0	29	0
31	15	31	7	134	224	0	0	32
32	16	43	-7	279	369	0	31	0
33	13	30	12	202	292	0	0	34
34	38	4	-12	423	513	0	33	0
35	33	27	8	94	184	0	0	36
36	31	0	-8	289	379	0	35	0
37	31	19	5	272	362	0	0	38
38	33	1	-5	426	516	0	37	0
39	14	44	6	98	188	0	0	40
40	23	14	-6	424	514	0	39	0
41	49	35	15	145	235	0	0	42
42	42	3	-15	423	513	0	41	0
43	30	35	9	110	200	0	0	44
44	41	6	-9	365	455	0	43	0
45	15	2	6	162	252	0	0	46
46	36	45	-6	415	505	0	45	0
47	31	14	9	204	294	0	0	48
48	33	0	-9	340	430	0	47	0
49	12	9	9	111	201	0	0	50
50	24	8	-9	433	523	0	49	0
51	12	35	13	212	302	0	0	52
52	15	26	-13	418	508	0	51	0
53	35	43	9	141	231	0	0	54
54	38	34	-9	379	469	0	53	0
55	22	44	11	76	166	0	0	56
56	41	27	-11	308	398	0	55	0
57	9	46	12	249	339	0	0	58
58	30	31	-12	424	514	0	57	0
59	27	15	12	80	170	0	0	60
60	42	13	-12	403	493	0	59	0
61	36	5	15	239	329	0	0	62
62	18	31	-15	457	547	0	61	0
63	30	22	12	128	218	0	0	64
64	21	41	-12	318	408	0	63	0
65	7	15	11	79	169	0	0	66
66	11	37	-11	417	507	0	65	0
67	12	21	6	78	168	0	0	68
68	40	22	-6	288	378	0	67	0
69	35	25	7	63	153	0	0	70
70	43	5	-7	366	456	0	69	0
71	28	25	7	47	137	0	0	72
72	25	2	-7	386	476	0	71	0
73	40	12	13	80	170	0	0	74
74	37	44	-13	358	448	0	73	0
75	27	33	8	46	136	0	0	76
76	9	49	-8	255	345	0	75	0
77	11	37	7	82	172	0	0	78
78	0	22	-7	301	391	0	77	0
79	23	26	12	150	240	0	0	80
80	19	4	-12	391	481	0	79	0
81	12	48	8	154	244	0	0	82
82	30	11	-8	429	519	0	81	0
83	34	10	10	121	211	0	0	84
84	25	35	-10	317	407	0	83	0
85	33	13	12	236	326	0	0	86
86	48	30	-12	418	508	0	85	0
87	34	19	10	292	382	0	0	88
88	12	33	-10	461	551	0	87	0
89	18	48	13	214	304	0	0	90
90	12	32	-13	368	458	0	89	0
91	33	13	10	81	171	0	0	92
92	38	46	-10	431	521	0	91	0
93	48	25	15	158	248	0	0	94
94	5	6	-15	411	501	0	93	0
95	22	0	8	102	192	0	0	96
96	37	3	-8	397	487	0	95	0
97	14	36	11	267	357	0	0	98
98	35	30	-11	456	546	0	97	0
99	26	34	6	246	336	0	0	100
100	34	15	-6	455	545	0	99	0
