task	x	y	demand	a	b	service_time	pickup	delivery
0	25	25	0	0	600	0	0	0
1	49	10	8	149	239	0	0	2
2	44	22	-8	411	501	0	1	0
3	21	26	11	251	341	0	0	4
4	1	40	-11	417	507	0	3	0
5	28	17	17	47	137	0	0	6
6	10	17	-17	230	320	0	5	0
7	33	19	13	182	272	0	0	8
8	27	31	-13	384	474	0	7	0
9	32	5	7	191	281	0	0	10
10	7	11	-7	361	451	0	9	0
11	27	15	16	33	123	0	0	12
12	47	10	-16	236	326	0	11	0
13	2	34	15	150	240	0	0	14
14	1	7	-15	381	471	0	13	0
15	22	41	6	81	171	0	0	16
16	42	32	-6	400	490	0	15	0
17	15	27	14	68	158	0	0	18
18	15	32	-14	216	306	0	17	0
19	30	47	18	232	322	0	0	20
20	13	35	-18	443	533	0	19	0
21	48	8	18	130	220	0	0	22
22	47	49	-18	390	480	0	21	0
23	48	46	20	155	245	0	0	24
24	29	21	-20	457	547	0	23	0
25	39	16	17	68	158	0	0	26
26	20	12	-17	243	333	0	25	0
27	13	37	14	221	311	0	0	28
28	1	16	-14	411	501	0	27	0
29	37	45	18	95	185	0	0	30
30	2	33	-18	312	402	0	29	0
31	25	38	9	135	225	0	0	32
32	18	23	-9	298	388	0	31	0
33	10	18	9	187	277	0	0	34
34	23	47	-9	384	474	0	33	0
35	9	40	19	83	173	0	0	36
36	13	0	-19	388	478	0	35	0
37	13	35	12	188	278	0	0	38
38	3	36	-12	368	458	0	37	0
39	45	1	8	174	264	0	0	40
40	18	12	-8	400	490	0	39	0
41	17	34	16	115	205	0	0	42
42	9	1	-16	329	419	0	41	0
43	42	33	14	68	158	0	0	44
44	37	34	-14	353	443	0	43	0
45	31	12	17	98	188	0	0	46
46	7	23	-17	276	366	0	45	0
47	27	28	11	281	371	0	0	48
48	8	26	-11	437	527	0	47	0
49	16	45	10	238	328	0	0	50
50	1	30	-10	407	497	0	49	0
51	22	18	8	175	265	0	0	52
52	42	29	-8	379	469	0	51	0
53	9	25	14	165	255	0	0	54
54	44	48	-14	391	481	0	53	0
55	28	17	8	268	358	0	0	56
56	29	39	-8	437	527	0	55	0
57	9	3	8	213	303	0	0	58
58	33	28	-8	444	534	0	57	0
59	17	35	10	253	343	0	0	60
60	41	34	-10	429	519	0	59	0
61	8	21	15	191	281	0	0	62
62	21	1	-15	382	472	0	61	0
63	9	27	13	277	367	0	0	64
64	27	11	-13	447	537	0	63	0
65	38	9	16	145	235	0	0	66
66	36	12	-16	306	396	0	65	0
67	48	40	11	85	175	0	0	68
68	19	13	-11	299	389	0	67	0
69	2	22	8	319	409	0	0	70
70	4	31	-8	438	528	0	69	0
71	25	18	12	242	332	0	0	72
72	18	13	-12	456	546	0	71	0
73	20	46	19	99	189	0	0	74
74	18	12	-19	341	431	0	73	0
75	16	36	14	212	302	0	0	76
76	9	37	-14	426	516	0	75	0
77	39	5	16	146	236	0	0	78
78	3	23	-16	420	510	0	77	0
79	40	23	16	55	145	0	0	80
80	40	20	-16	393	483	0	79	0
81	32	39	5	117	207	0	0	82
82	13	15	-5	357	447	0	81	0
83	10	8	13	185	275	0	0	84
84	37	10	-13	361	451	0	83	0
85	14	41	15	288	378	0	0	86
86	12	36	-15	418	508	0	85	0
87	23	35	7	189	279	0	0	88
88	0	30	-7	367	457	0	87	0
89	0	30	14	128	218	0	0	90
90	33	29	-14	465	555	0	89	0
91	10	33	12	218	308	0	0	92
92	29	24	-12	440	530	0	91	0
93	20	22	16	62	152	0	0	94
94	33	50	-16	347	437	0	93	0
95	9	18	15	168	258	0	0	96
96	7	3	-15	376	466	0	95	0
97	32	27	11	141	231	0	0	98
98	40	41	-11	342	432	0	97	0
99	38	23	9	284	374	0	0	100
100	48	20	-9	434	524	0	99	0
