task	x	y	demand	a	b	service_time	pickup	delivery
0	25	25	0	0	600	0	0	0
1	49	30	14	272	317	0	0	2
2	41	35	-14	371	416	0	1	0
3	5	3	8	203	248	0	0	4
4	28	32	-8	452	497	0	3	0
5	16	25	12	195	240	0	0	6
6	4	7	-12	380	425	0	5	0
7	20	47	9	132	177	0	0	8
8	26	34	-9	430	475	0	7	0
9	22	9	10	241	286	0	0	10
10	2	6	-10	358	403	0	9	0
11	10	7	8	345	390	0	0	12
12	12	37	-8	487	532	0	11	0
13	27	5	5	293	338	0	0	14
14	20	41	-5	479	524	0	13	0
15	36	19	13	283	328	0	0	16
16	20	19	-13	458	503	0	15	0
17	38	38	8	336	381	0	0	18
18	19	34	-8	465	510	0	17	0
19	40	9	11	243	288	0	0	20
20	21	36	-11	458	503	0	19	0
21	16	10	7	314	359	0	0	22
22	28	21	-7	510	555	0	21	0
23	24	19	9	317	362	0	0	24
24	15	42	-9	452	497	0	23	0
25	40	5	7	155	200	0	0	26
26	13	14	-7	367	412	0	25	0
27	27	17	6	47	92	0	0	28
28	10	1	-6	307	352	0	27	0
29	4	26	9	175	220	0	0	30
30	45	33	-9	455	500	0	29	0
31	4	25	9	273	318	0	0	32
32	35	42	-9	445	490	0	31	0
33	10	21	14	85	130	0	0	34
34	34	20	-14	210	255	0	33	0
35	18	22	11	57	102	0	0	36
36	27	45	-11	445	490	0	35	0
37	28	45	5	361	406	0	0	38
38	16	32	-5	484	529	0	37	0
39	35	10	5	258	303	0	0	40
40	9	5	-5	432	477	0	39	0
41	4	38	13	133	178	0	0	42
42	5	35	-13	277	322	0	41	0
43	1	16	8	361	406	0	0	44
44	31	26	-8	535	580	0	43	0
45	7	3	15	195	240	0	0	46
46	13	45	-15	444	489	0	45	0
47	7	25	13	319	364	0	0	48
48	31	14	-13	488	533	0	47	0
49	6	28	9	256	301	0	0	50
50	46	23	-9	471	516	0	49	0
51	30	24	5	391	436	0	0	52
52	25	10	-5	504	549	0	51	0
53	14	20	14	132	177	0	0	54
54	11	17	-14	343	388	0	53	0
55	26	6	10	237	282	0	0	56
56	8	48	-10	448	493	0	55	0
57	45	45	12	150	195	0	0	58
58	38	33	-12	505	550	0	57	0
59	43	36	15	112	157	0	0	60
60	13	30	-15	451	496	0	59	0
61	24	24	5	86	131	0	0	62
62	11	46	-5	472	517	0	61	0
63	16	32	11	348	393	0	0	64
64	3	40	-11	462	507	0	63	0
65	33	4	15	265	310	0	0	66
66	19	22	-15	424	469	0	65	0
67	25	17	12	279	324	0	0	68
68	41	33	-12	489	534	0	67	0
69	15	9	11	330	375	0	0	70
70	5	40	-11	473	518	0	69	0
71	33	49	7	219	264	0	0	72
72	20	27	-7	536	581	0	71	0
73	11	20	6	225	270	0	0	74
74	18	24	-6	477	522	0	73	0
75	49	49	14	256	301	0	0	76
76	28	45	-14	426	471	0	75	0
77	50	28	12	84	129	0	0	78
78	29	17	-12	382	427	0	77	0
79	9	15	13	297	342	0	0	80
80	16	20	-13	520	565	0	79	0
81	39	48	11	284	329	0	0	82
82	13	6	-11	482	527	0	81	0
83	19	26	11	250	295	0	0	84
84	29	28	-11	442	487	0	83	0
85	34	10	11	65	110	0	0	86
86	49	46	-11	253	298	0	85	0
87	0	0	13	235	280	0	0	88
88	46	33	-13	465	510	0	87	0
89	11	36	6	320	365	0	0	90
90	33	17	-6	478	523	0	89	0
91	27	9	11	294	339	0	0	92
92	14	2	-11	468	513	0	91	0
93	39	21	14	250	295	0	0	94
94	27	26	-14	466	511	0	93	0
95	18	13	6	164	209	0	0	96
96	24	17	-6	459	504	0	95	0
97	44	16	12	99	144	0	0	98
98	26	49	-12	478	523	0	97	0
99	10	24	10	92	137	0	0	100
100	42	28	-10	369	414	0	99	0
