task	x	y	demand	a	b	service_time	pickup	delivery
0	25	25	0	0	600	0	0	0
1	44	5	7	188	233	0	0	2
2	1	1	-7	438	483	0	1	0
3	30	2	16	80	125	0	0	4
4	11	6	-16	314	359	0	3	0
5	45	5	20	115	160	0	0	6
6	25	42	-20	348	393	0	5	0
7	15	27	14	146	191	0	0	8
8	48	11	-14	446	491	0	7	0
9	20	28	9	48	93	0	0	10
10	25	23	-9	461	506	0	9	0
11	41	50	10	384	429	0	0	12
12	43	47	-10	465	510	0	11	0
13	23	49	10	158	203	0	0	14
14	1	15	-10	437	482	0	13	0
15	42	15	12	259	304	0	0	16
16	12	32	-12	447	492	0	15	0
17	17	47	17	84	129	0	0	18
18	41	48	-17	304	349	0	17	0
19	45	4	18	400	445	0	0	20
20	38	12	-18	487	532	0	19	0
21	16	47	13	152	197	0	0	22
22	42	4	-13	429	474	0	21	0
23	25	18	18	160	205	0	0	24
24	4	34	-18	324	369	0	23	0
25	39	40	8	399	444	0	0	26
26	48	37	-8	476	521	0	25	0
27	23	15	15	204	249	0	0	28
28	26	5	-15	447	492	0	27	0
29	16	9	9	290	335	0	0	30
30	37	13	-9	485	530	0	29	0
31	14	45	15	340	385	0	0	32
32	23	47	-15	469	514	0	31	0
33	29	4	18	336	381	0	0	34
34	37	40	-18	494	539	0	33	0
35	30	26	10	37	82	0	0	36
36	34	11	-10	461	506	0	35	0
37	27	45	12	105	150	0	0	38
38	42	40	-12	255	300	0	37	0
39	43	4	9	307	352	0	0	40
40	45	20	-9	432	477	0	39	0
41	3	36	10	86	131	0	0	42
42	16	49	-10	361	406	0	41	0
43	37	17	18	117	162	0	0	44
44	23	47	-18	375	420	0	43	0
45	47	29	18	213	258	0	0	46
46	30	0	-18	379	424	0	45	0
47	5	35	7	147	192	0	0	48
48	23	28	-7	369	414	0	47	0
49	22	8	5	214	259	0	0	50
50	44	37	-5	393	438	0	49	0
51	32	21	5	50	95	0	0	52
52	49	44	-5	189	234	0	51	0
53	4	26	12	273	318	0	0	54
54	25	13	-12	417	462	0	53	0
55	20	9	8	60	105	0	0	56
56	25	1	-8	270	315	0	55	0
57	50	8	20	190	235	0	0	58
58	41	43	-20	410	455	0	57	0
59	25	24	18	171	216	0	0	60
60	19	4	-18	319	364	0	59	0
61	47	2	17	130	175	0	0	62
62	27	0	-17	438	483	0	61	0
63	6	13	14	241	286	0	0	64
64	46	39	-14	469	514	0	63	0
65	47	41	12	219	264	0	0	66
66	2	47	-12	409	454	0	65	0
67	31	36	10	330	375	0	0	68
68	23	2	-10	483	528	0	67	0
69	24	19	14	248	293	0	0	70
70	46	49	-14	443	488	0	69	0
71	44	13	18	404	449	0	0	72
72	34	15	-18	486	531	0	71	0
73	23	19	11	375	420	0	0	74
74	30	2	-11	482	527	0	73	0
75	20	6	8	158	203	0	0	76
76	15	2	-8	374	419	0	75	0
77	45	5	11	239	284	0	0	78
78	46	50	-11	450	495	0	77	0
79	0	28	18	137	182	0	0	80
80	31	7	-18	401	446	0	79	0
81	37	41	8	380	425	0	0	82
82	42	47	-8	456	501	0	81	0
83	9	26	11	251	296	0	0	84
84	10	28	-11	394	439	0	83	0
85	37	31	17	360	405	0	0	86
86	18	21	-17	477	522	0	85	0
87	50	39	5	232	277	0	0	88
88	15	49	-5	428	473	0	87	0
89	48	48	12	123	168	0	0	90
90	9	44	-12	455	500	0	89	0
91	44	36	20	248	293	0	0	92
92	29	2	-20	438	483	0	91	0
93	22	11	10	153	198	0	0	94
94	13	34	-10	484	529	0	93	0
95	35	21	11	290	335	0	0	96
96	30	40	-11	458	503	0	95	0
97	1	9	13	218	263	0	0	98
98	41	37	-13	493	538	0	97	0
99	29	14	13	253	298	0	0	100
100	32	8	-13	447	492	0	99	0
