task	x	y	demand	a	b	service_time	pickup	delivery
0	25	25	0	0	600	0	0	0
1	20	4	6	270	360	0	0	2
2	3	3	-6	413	503	0	1	0
3	34	23	20	34	124	0	0	4
4	28	32	-20	202	292	0	3	0
5	41	49	17	114	204	0	0	6
6	28	4	-17	399	489	0	5	0
7	1	40	6	126	216	0	0	8
8	41	0	-6	413	503	0	7	0
9	8	5	13	191	281	0	0	10
10	15	40	-13	414	504	0	9	0
11	29	46	7	106	196	0	0	12
12	46	3	-7	390	480	0	11	0
13	6	45	16	186	276	0	0	14
14	44	34	-16	436	526	0	13	0
15	33	13	20	248	338	0	0	16
16	19	31	-20	462	552	0	15	0
17	11	3	18	202	292	0	0	18
18	12	39	-18	415	505	0	17	0
19	15	2	8	118	208	0	0	20
20	47	49	-8	384	474	0	19	0
21	29	21	7	65	155	0	0	22
22	6	4	-7	415	505	0	21	0
23	24	4	20	239	329	0	0	24
24	18	34	-20	430	520	0	23	0
25	11	21	18	286	376	0	0	26
26	15	11	-18	437	527	0	25	0
27	14	20	17	66	156	0	0	28
28	46	29	-17	358	448	0	27	0
29	33	41	20	89	179	0	0	30
30	25	5	-20	301	391	0	29	0
31	45	11	17	143	233	0	0	32
32	37	38	-17	452	542	0	31	0
33	38	43	10	188	278	0	0	34
34	47	30	-10	411	501	0	33	0
35	3	44	19	257	347	0	0	36
36	31	15	-19	470	560	0	35	0
37	11	29	7	138	228	0	0	38
38	28	20	-7	416	506	0	37	0
39	31	5	15	197	287	0	0	40
40	47	39	-15	410	500	0	39	0
41	20	22	5	160	250	0	0	42
42	24	44	-5	428	518	0	41	0
43	2	22	9	126	216	0	0	44
44	21	14	-9	399	489	0	43	0
45	13	22	8	233	323	0	0	46
46	9	1	-8	413	503	0	45	0
47	12	47	7	113	203	0	0	48
48	14	23	-7	406	496	0	47	0
49	50	33	11	120	210	0	0	50
50	31	6	-11	418	508	0	49	0
51	33	29	19	192	282	0	0	52
52	37	28	-19	355	445	0	51	0
53	14	50	20	217	307	0	0	54
54	23	15	-20	429	519	0	53	0
55	17	13	11	59	149	0	0	56
56	29	48	-11	374	464	0	55	0
57	16	5	12	111	201	0	0	58
58	37	46	-12	408	498	0	57	0
59	47	44	17	228	318	0	0	60
60	30	43	-17	380	470	0	59	0
61	24	45	10	250	340	0	0	62
62	4	30	-10	443	533	0	61	0
63	29	20	18	237	327	0	0	64
64	12	37	-18	399	489	0	63	0
65	12	50	13	225	315	0	0	66
66	20	44	-13	439	529	0	65	0
67	3	24	12	103	193	0	0	68
68	3	48	-12	381	471	0	67	0
69	4	44	11	183	273	0	0	70
70	45	39	-11	411	501	0	69	0
71	15	19	16	48	138	0	0	72
72	45	37	-16	277	367	0	71	0
73	31	23	14	257	347	0	0	74
74	44	20	-14	392	482	0	73	0
75	15	15	17	75	165	0	0	76
76	8	26	-17	386	476	0	75	0
77	40	13	9	181	271	0	0	78
78	29	27	-9	385	475	0	77	0
79	37	48	17	88	178	0	0	80
80	12	16	-17	375	465	0	79	0
81	18	32	19	112	202	0	0	82
82	11	7	-19	387	477	0	81	0
83	25	13	19	89	179	0	0	84
84	48	46	-19	404	494	0	83	0
85	42	10	9	202	292	0	0	86
86	17	47	-9	434	524	0	85	0
87	23	36	9	276	366	0	0	88
88	18	20	-9	439	529	0	87	0
89	22	29	13	197	287	0	0	90
90	16	33	-13	321	411	0	89	0
91	9	3	16	177	267	0	0	92
92	5	5	-16	388	478	0	91	0
93	41	14	17	240	330	0	0	94
94	38	21	-17	445	535	0	93	0
95	32	24	11	112	202	0	0	96
96	26	20	-11	319	409	0	95	0
97	49	22	8	243	333	0	0	98
98	19	24	-8	474	564	0	97	0
99	14	9	20	185	275	0	0	100
100	37	33	-20	386	476	0	99	0
