task	x	y	demand	a	b	service_time	pickup	delivery
0	25	25	0	0	600	0	0	0
1	2	40	11	223	313	0	0	2
2	41	45	-11	431	521	0	1	0
3	42	35	15	165	255	0	0	4
4	2	19	-15	411	501	0	3	0
5	20	24	11	90	180	0	0	6
6	34	18	-11	302	392	0	5	0
7	26	47	9	75	165	0	0	8
8	16	43	-9	394	484	0	7	0
9	1	30	15	181	271	0	0	10
10	30	43	-15	435	525	0	9	0
11	45	35	10	219	309	0	0	12
12	6	19	-10	448	538	0	11	0
13	24	50	15	179	269	0	0	14
14	34	17	-15	439	529	0	13	0
15	27	26	6	17	107	0	0	16
16	36	48	-6	187	277	0	15	0
17	41	28	14	201	291	0	0	18
18	45	1	-14	412	502	0	17	0
19	50	49	11	234	324	0	0	20
20	13	37	-11	448	538	0	19	0
21	18	3	12	133	223	0	0	22
22	28	43	-12	378	468	0	21	0
23	21	41	10	66	156	0	0	24
24	26	33	-10	347	437	0	23	0
25	9	5	7	322	412	0	0	26
26	23	12	-7	463	553	0	25	0
27	29	50	13	223	313	0	0	28
28	4	25	-13	426	516	0	27	0
29	33	36	7	132	222	0	0	30
30	1	15	-7	367	457	0	29	0
31	28	36	14	90	180	0	0	32
32	23	27	-14	424	514	0	31	0
33	4	23	12	225	315	0	0	34
34	44	32	-12	443	533	0	33	0
35	32	48	12	169	259	0	0	36
36	10	45	-12	354	444	0	35	0
37	19	47	15	110	200	0	0	38
38	38	42	-15	270	360	0	37	0
39	38	43	12	104	194	0	0	40
40	1	32	-12	397	487	0	39	0
41	13	41	5	81	171	0	0	42
42	45	20	-5	380	470	0	41	0
43	15	17	14	150	240	0	0	44
44	24	45	-14	334	424	0	43	0
45	48	49	10	231	321	0	0	46
46	41	13	-10	439	529	0	45	0
47	19	29	7	284	374	0	0	48
48	14	10	-7	440	530	0	47	0
49	4	4	14	99	189	0	0	50
50	49	42	-14	374	464	0	49	0
51	35	41	13	99	189	0	0	52
52	17	3	-13	400	490	0	51	0
53	43	43	12	119	209	0	0	54
54	44	36	-12	232	322	0	53	0
55	28	47	9	138	228	0	0	56
56	18	26	-9	350	440	0	55	0
57	0	19	15	192	282	0	0	58
58	40	45	-15	433	523	0	57	0
59	1	1	6	238	328	0	0	60
60	23	15	-6	452	542	0	59	0
61	33	18	6	130	220	0	0	62
62	18	47	-6	426	516	0	61	0
63	10	28	11	213	303	0	0	64
64	32	29	-11	482	572	0	63	0
65	44	4	8	109	199	0	0	66
66	6	14	-8	421	511	0	65	0
67	30	17	7	195	285	0	0	68
68	33	25	-7	407	497	0	67	0
69	17	45	5	249	339	0	0	70
70	36	42	-5	430	520	0	69	0
71	21	19	11	217	307	0	0	72
72	42	35	-11	413	503	0	71	0
73	46	44	10	103	193	0	0	74
74	35	46	-10	315	405	0	73	0
75	43	19	8	177	267	0	0	76
76	40	23	-8	367	457	0	75	0
77	2	19	9	296	386	0	0	78
78	11	23	-9	435	525	0	77	0
79	32	2	13	187	277	0	0	80
80	10	20	-13	428	518	0	79	0
81	21	31	13	121	211	0	0	82
82	16	44	-13	405	495	0	81	0
83	48	36	6	164	254	0	0	84
84	26	30	-6	386	476	0	83	0
85	34	12	9	100	190	0	0	86
86	12	9	-9	428	518	0	85	0
87	5	42	8	178	268	0	0	88
88	7	14	-8	370	460	0	87	0
89	5	8	11	177	267	0	0	90
90	6	12	-11	397	487	0	89	0
91	27	5	11	163	253	0	0	92
92	36	16	-11	462	552	0	91	0
93	39	5	10	196	286	0	0	94
94	28	5	-10	436	526	0	93	0
95	49	13	5	155	245	0	0	96
96	40	49	-5	397	487	0	95	0
97	30	39	5	63	153	0	0	98
98	24	48	-5	395	485	0	97	0
99	12	34	7	103	193	0	0	100
100	17	21	-7	347	437	0	99	0
