task	x	y	demand	a	b	service_time	pickup	delivery
0	25	25	0	0	600	0	0	0
1	32	7	15	92	137	0	0	2
2	44	47	-15	347	392	0	1	0
3	7	8	15	143	188	0	0	4
4	20	48	-15	418	463	0	3	0
5	26	27	9	421	466	0	0	6
6	19	25	-9	511	556	0	5	0
7	28	37	14	163	208	0	0	8
8	4	43	-14	385	430	0	7	0
9	30	39	7	67	112	0	0	10
10	21	32	-7	297	342	0	9	0
11	5	12	6	317	362	0	0	12
12	12	26	-6	479	524	0	11	0
13	29	42	14	288	333	0	0	14
14	9	25	-14	449	494	0	13	0
15	2	34	10	109	154	0	0	16
16	5	4	-10	377	422	0	15	0
17	36	31	5	351	396	0	0	18
18	43	40	-5	439	484	0	17	0
19	47	44	13	238	283	0	0	20
20	46	30	-13	483	528	0	19	0
21	6	39	19	112	157	0	0	22
22	31	42	-19	466	511	0	21	0
23	40	21	12	157	202	0	0	24
24	21	31	-12	499	544	0	23	0
25	26	32	16	282	327	0	0	26
26	42	10	-16	462	507	0	25	0
27	49	25	18	268	313	0	0	28
28	24	6	-18	492	537	0	27	0
29	20	27	5	175	220	0	0	30
30	1	15	-5	307	352	0	29	0
31	49	33	16	180	225	0	0	32
32	44	36	-16	407	452	0	31	0
33	23	49	20	128	173	0	0	34
34	26	7	-20	451	496	0	33	0
35	44	0	19	154	199	0	0	36
36	20	34	-19	372	417	0	35	0
37	42	38	19	109	154	0	0	38
38	45	43	-19	384	429	0	37	0
39	8	19	10	174	219	0	0	40
40	39	5	-10	397	442	0	39	0
41	8	36	16	259	304	0	0	42
42	25	31	-16	420	465	0	41	0
43	18	33	9	116	161	0	0	44
44	41	2	-9	312	357	0	43	0
45	1	23	13	422	467	0	0	46
46	25	24	-13	550	595	0	45	0
47	21	30	19	128	173	0	0	48
48	46	43	-19	281	326	0	47	0
49	24	42	7	214	259	0	0	50
50	8	6	-7	445	490	0	49	0
51	41	18	17	276	321	0	0	52
52	2	35	-17	457	502	0	51	0
53	24	44	19	153	198	0	0	54
54	26	43	-19	352	397	0	53	0
55	14	36	16	207	252	0	0	56
56	19	4	-16	396	441	0	55	0
57	20	49	19	302	347	0	0	58
58	19	31	-19	426	471	0	57	0
59	42	7	16	97	142	0	0	60
60	4	28	-16	409	454	0	59	0
61	49	13	8	306	351	0	0	62
62	46	30	-8	431	476	0	61	0
63	25	37	11	307	352	0	0	64
64	28	24	-11	423	468	0	63	0
65	41	21	18	358	403	0	0	66
66	29	40	-18	505	550	0	65	0
67	12	43	20	321	366	0	0	68
68	7	28	-20	468	513	0	67	0
69	21	7	11	106	151	0	0	70
70	32	13	-11	417	462	0	69	0
71	10	10	18	98	143	0	0	72
72	33	50	-18	347	392	0	71	0
73	22	24	20	122	167	0	0	74
74	25	11	-20	477	522	0	73	0
75	10	50	11	323	368	0	0	76
76	15	49	-11	417	462	0	75	0
77	32	38	16	146	191	0	0	78
78	10	2	-16	432	477	0	77	0
79	24	46	9	419	464	0	0	80
80	17	30	-9	517	562	0	79	0
81	8	38	11	344	389	0	0	82
82	29	46	-11	473	518	0	81	0
83	15	6	10	164	209	0	0	84
84	1	42	-10	371	416	0	83	0
85	44	41	6	123	168	0	0	86
86	38	28	-6	343	388	0	85	0
87	10	47	17	179	224	0	0	88
88	7	3	-17	425	470	0	87	0
89	32	42	8	230	275	0	0	90
90	7	20	-8	404	449	0	89	0
91	14	24	17	274	319	0	0	92
92	19	28	-17	410	455	0	91	0
93	47	23	20	119	164	0	0	94
94	1	9	-20	319	364	0	93	0
95	11	17	18	116	161	0	0	96
96	32	21	-18	290	335	0	95	0
97	21	26	12	129	174	0	0	98
98	31	22	-12	479	524	0	97	0
99	43	40	16	273	318	0	0	100
100	30	12	-16	444	489	0	99	0
