task	x	y	demand	a	b	service_time	pickup	delivery
0	25	25	0	0	600	0	0	0
1	14	19	14	331	376	0	0	2
2	38	1	-14	470	515	0	1	0
3	44	30	11	167	212	0	0	4
4	16	36	-11	426	471	0	3	0
5	7	34	5	346	391	0	0	6
6	21	40	-5	484	529	0	5	0
7	2	39	10	141	186	0	0	8
8	21	16	-10	336	381	0	7	0
9	35	14	13	106	151	0	0	10
10	4	19	-13	360	405	0	9	0
11	30	18	5	268	313	0	0	12
12	14	19	-5	408	453	0	11	0
13	21	6	8	88	133	0	0	14
14	0	49	-8	288	333	0	13	0
15	47	24	7	290	335	0	0	16
16	47	28	-7	387	432	0	15	0
17	13	45	12	370	415	0	0	18
18	29	32	-12	520	565	0	17	0
19	16	31	12	45	90	0	0	20
20	35	30	-12	309	354	0	19	0
21	26	33	5	221	266	0	0	22
22	42	14	-5	394	439	0	21	0
23	4	48	15	249	294	0	0	24
24	28	15	-15	520	565	0	23	0
25	39	19	11	199	244	0	0	26
26	32	22	-11	268	313	0	25	0
27	5	1	11	165	210	0	0	28
28	42	46	-11	417	462	0	27	0
29	25	38	14	250	295	0	0	30
30	25	19	-14	356	401	0	29	0
31	27	14	10	270	315	0	0	32
32	13	16	-10	459	504	0	31	0
33	18	10	12	215	260	0	0	34
34	4	30	-12	390	435	0	33	0
35	33	9	8	68	113	0	0	36
36	40	16	-8	464	509	0	35	0
37	7	27	7	208	253	0	0	38
38	31	40	-7	404	449	0	37	0
39	11	49	13	90	135	0	0	40
40	37	30	-13	492	537	0	39	0
41	36	8	8	211	256	0	0	42
42	12	11	-8	434	479	0	41	0
43	8	16	9	345	390	0	0	44
44	22	24	-9	519	564	0	43	0
45	41	22	15	192	237	0	0	46
46	13	39	-15	488	533	0	45	0
47	31	33	9	167	212	0	0	48
48	3	38	-9	313	358	0	47	0
49	4	23	14	195	240	0	0	50
50	36	33	-14	382	427	0	49	0
51	1	36	9	262	307	0	0	52
52	26	7	-9	498	543	0	51	0
53	23	44	6	282	327	0	0	54
54	37	30	-6	476	521	0	53	0
55	11	23	9	150	195	0	0	56
56	40	46	-9	371	416	0	55	0
57	5	25	7	210	255	0	0	58
58	48	30	-7	447	492	0	57	0
59	4	4	12	306	351	0	0	60
60	7	41	-12	478	523	0	59	0
61	9	10	13	220	265	0	0	62
62	36	34	-13	419	464	0	61	0
63	7	42	6	277	322	0	0	64
64	32	50	-6	432	477	0	63	0
65	27	37	8	141	186	0	0	66
66	39	22	-8	331	376	0	65	0
67	12	14	8	124	169	0	0	68
68	14	30	-8	398	443	0	67	0
69	8	22	6	159	204	0	0	70
70	50	13	-6	368	413	0	69	0
71	28	24	7	226	271	0	0	72
72	12	6	-7	363	408	0	71	0
73	48	39	7	263	308	0	0	74
74	25	34	-7	480	525	0	73	0
75	20	10	7	423	468	0	0	76
76	18	15	-7	512	557	0	75	0
77	16	12	6	95	140	0	0	78
78	39	27	-6	474	519	0	77	0
79	19	42	9	193	238	0	0	80
80	49	29	-9	349	394	0	79	0
81	22	40	10	202	247	0	0	82
82	46	28	-10	482	527	0	81	0
83	42	38	11	203	248	0	0	84
84	21	5	-11	387	432	0	83	0
85	49	18	6	197	242	0	0	86
86	23	45	-6	482	527	0	85	0
87	36	46	12	279	324	0	0	88
88	46	4	-12	458	503	0	87	0
89	9	29	11	212	257	0	0	90
90	47	36	-11	472	517	0	89	0
91	5	20	7	419	464	0	0	92
92	10	12	-7	493	538	0	91	0
93	15	5	10	249	294	0	0	94
94	43	48	-10	455	500	0	93	0
95	39	46	12	208	253	0	0	96
96	22	22	-12	532	577	0	95	0
97	16	46	6	90	135	0	0	98
98	15	36	-6	432	477	0	97	0
99	46	33	13	170	215	0	0	100
100	12	45	-13	442	487	0	99	0
