21
0.00 58.68 68.20 69.62 70.19 79.59 59.29 89.59 73.33 82.01 69.08 69.96 67.07 77.07 80.33 71.16 68.68 80.47 65.41 83.58 79.95
58.68 0.00 9.53 21.68 14.40 24.38 8.43 42.04 27.65 32.48 10.40 17.63 8.61 21.93 25.90 26.02 10.07 30.35 14.49 33.92 25.28
68.20 9.53 0.00 20.70 9.99 18.05 13.02 37.86 26.26 28.44 19.30 15.17 18.14 16.04 19.93 25.25 18.25 26.31 14.55 29.65 19.23
69.62 21.68 20.70 0.00 11.13 12.93 14.18 21.52 5.97 12.65 20.18 5.74 22.23 11.30 12.52 4.57 19.06 10.91 7.19 14.24 12.50
70.19 14.40 9.99 11.13 0.00 10.09 10.91 28.31 16.38 18.76 9.31 5.40 11.76 7.58 11.51 15.57 8.26 16.61 6.86 20.08 10.91
79.59 24.38 18.05 12.93 10.09 0.00 20.50 20.48 14.81 11.85 17.06 9.86 20.01 17.39 18.21 15.42 16.39 10.06 14.29 12.63 18.82
59.29 8.43 13.02 14.18 10.91 20.50 0.00 35.44 20.01 26.11 13.29 11.56 13.40 17.94 21.51 18.18 12.31 24.08 7.33 27.65 21.03
89.59 42.04 37.86 21.52 28.31 20.48 35.44 0.00 16.52 9.58 36.97 24.42 39.77 21.97 18.44 18.71 36.12 11.72 28.13 8.23 19.15
73.33 27.65 26.26 5.97 16.38 14.81 20.01 16.52 0.00 9.04 25.66 11.09 27.89 14.13 13.61 10.54 24.56 8.13 13.16 10.50 13.90
82.01 32.48 28.44 12.65 18.76 11.85 26.11 9.58 9.04 0.00 27.59 14.88 30.33 12.85 9.87 11.07 26.69 17.18 18.77 17.81 10.52
69.08 10.40 19.30 20.18 9.31 17.06 13.29 36.97 25.66 27.59 0.00 14.58 19.02 15.10 18.96 24.72 17.57 25.47 14.27 28.77 18.26
69.96 17.63 15.17 5.74 5.40 9.86 11.56 24.42 11.09 14.88 14.58 0.00 16.81 7.53 10.38 10.17 13.48 12.78 4.56 16.36 10.03
67.07 8.61 18.14 22.23 11.76 20.01 13.40 39.77 27.89 30.33 19.02 16.81 0.00 17.99 21.89 26.79 18.68 28.19 15.82 31.55 21.19
77.07 21.93 16.04 11.30 7.58 17.39 17.94 21.97 14.13 12.85 15.10 7.53 17.99 0.00 17.91 14.38 14.34 10.84 11.85 13.86 17.57
80.33 25.90 19.93 12.52 11.51 18.21 21.51 18.44 13.61 9.87 18.96 10.38 21.89 17.91 0.00 14.45 18.25 8.15 14.92 10.60 16.91
71.16 26.02 25.25 4.57 15.57 15.42 18.18 18.71 10.54 11.07 24.72 10.17 26.79 14.38 14.45 0.00 23.60 9.95 11.59 12.57 14.65
68.68 10.07 18.25 19.06 8.26 16.39 12.31 36.12 24.56 26.69 17.57 13.48 18.68 14.34 18.25 23.60 0.00 24.56 13.11 27.90 17.55
80.47 30.35 26.31 10.91 16.61 10.06 24.08 11.72 8.13 17.18 25.47 12.78 28.19 10.84 8.15 9.95 24.56 0.00 16.75 18.63 8.76
65.41 14.49 14.55 7.19 6.86 14.29 7.33 28.13 13.16 18.77 14.27 4.56 15.82 11.85 14.92 11.59 13.11 16.75 0.00 20.31 14.55
83.58 33.92 29.65 14.24 20.08 12.63 27.65 8.23 10.50 17.81 28.77 16.36 31.55 13.86 10.60 12.57 27.90 18.63 20.31 0.00 11.29
79.95 25.28 19.23 12.50 10.91 18.82 21.03 19.15 13.90 10.52 18.26 10.03 21.19 17.57 16.91 14.65 17.55 8.76 14.55 11.29 0.00
0	0	1700	0	0	0
1	28	108	1	0	8
2	41	121	1	0	5
3	67	147	1	0	20
4	79	159	1	0	9
5	100	180	-1	2	0
6	146	226	1	0	18
7	252	332	1	0	12
8	288	368	-1	1	0
9	305	385	-1	4	0
10	350	430	1	0	14
11	372	452	1	0	15
12	411	491	-1	7	0
13	462	542	1	0	19
14	514	594	-1	10	0
15	546	626	-1	11	0
16	587	667	1	0	17
17	623	703	-1	16	0
18	647	727	-1	6	0
19	674	754	-1	13	0
20	691	771	-1	3	0
C:
0 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
2 2 2 2 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2
1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1
2 2 2 2 2 2 2 2 2 2 2 2 0 2 2 2 2 2 2 2 2 2
1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1
2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 2 2
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1
3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 0
Time:
0	15
15	30
30	45
45	60
60	75
75	90
90	105
105	120
120	135
135	150
150	165
165	180
180	195
195	210
210	225
225	240
240	255
255	270
270	285
285	300
300	315
315	330
330	345
345	360
360	375
375	390
390	405
405	420
420	435
435	450
450	465
465	480
480	495
495	510
510	525
525	540
540	555
555	570
570	585
585	600
600	615
615	630
630	645
645	660
660	675
675	690
690	705
705	720
720	735
735	750
750	765
765	780
780	795
795	810
810	825
825	840
840	855
855	870
870	885
885	900
900	915
915	930
930	945
945	960
960	975
975	990
990	1005
1005	1020
1020	1035
1035	1050
1050	1065
1065	1080
1080	2000
Speed:
0.925	0.85	0.925	1	0.8325	0.765	0.8325	0.9	0.4625	0.425	0.4625	0.5	0.30525	0.2805	0.30525	0.33	0.37	0.34	0.37	0.4	0.555	0.51	0.555	0.6	0.6475	0.595	0.6475	0.7	0.37	0.34	0.37	0.4	0.30525	0.2805	0.30525	0.33	0.4625	0.425	0.4625	0.5	0.6475	0.595	0.6475	0.7	0.74	0.68	0.74	0.8	0.6475	0.595	0.6475	0.7	0.4625	0.425	0.4625	0.5	0.555	0.51	0.555	0.6	0.6475	0.595	0.6475	0.7	0.8325	0.765	0.8325	0.9	0.925	0.85	0.925	1	1
0.925	0.85	0.925	1	0.8325	0.765	0.8325	0.9	0.4625	0.425	0.4625	0.5	0.30525	0.2805	0.30525	0.33	0.37	0.34	0.37	0.4	0.555	0.51	0.555	0.6	0.6475	0.595	0.6475	0.7	0.37	0.34	0.37	0.4	0.30525	0.2805	0.30525	0.33	0.4625	0.425	0.4625	0.5	0.6475	0.595	0.6475	0.7	0.74	0.68	0.74	0.8	0.6475	0.595	0.6475	0.7	0.4625	0.425	0.4625	0.5	0.555	0.51	0.555	0.6	0.6475	0.595	0.6475	0.7	0.8325	0.765	0.8325	0.9	0.925	0.85	0.925	1	1
0.925	0.85	0.925	1	0.8325	0.765	0.8325	0.9	0.4625	0.425	0.4625	0.5	0.30525	0.2805	0.30525	0.33	0.37	0.34	0.37	0.4	0.555	0.51	0.555	0.6	0.6475	0.595	0.6475	0.7	0.37	0.34	0.37	0.4	0.30525	0.2805	0.30525	0.33	0.4625	0.425	0.4625	0.5	0.6475	0.595	0.6475	0.7	0.74	0.68	0.74	0.8	0.6475	0.595	0.6475	0.7	0.4625	0.425	0.4625	0.5	0.555	0.51	0.555	0.6	0.6475	0.595	0.6475	0.7	0.8325	0.765	0.8325	0.9	0.925	0.85	0.925	1	1
